External Quantum Efficiency	v1.4.7137.26188
Date Time:	Sunday, 05 June 2022 18:28:59
Dimensions:	3
TotalSteps:	339
SourceFile 	D:\users\nanoscalesolar\Documents\Eitan\Cal.eqe
Sample:    	?
Operator:  	Nanoscalesolar
Comments:  	

Loops:
>	Wavelength from 500.0 to 780.0 [nm] in 113 steps
>	Focus Correction [no-loop]
>	Repeat 3 times

Operations:
>	Delay [100 ms]
>	LockIn Sensitivity Tracker
>	LockIn Amplifier : M
>	LockIn Amplifier : IS
>	LockIn Amplifier : R

Parameters:
>	Wavelength	nm	1	113	R	{From=500,To=780}
>	Focus CorrectionY	µm	3	1	V	0
>	Repeat	x	0	3	R	{From=0,To=2}

Results:
>	M	V	-1
>	Phase	'	2
>	IS	A	-1
>	Phase	'	2
>	R	V	-1
>	Phase	'	2

-= Wavelength - AOTF VIS =-
Channels:     	8
Range:        	370 - 800 nm
AutoOptPower: 	ON
Modulation:   	ON
Ch:0	Wavelength: 500.0 nm	Frequency: 126.775 MHz	Power: 5000

-= Focus Correction =-
Piezo X:     	OFF
Piezo Y:     	ON 'NewNKT_Focus_corr'
Piezo Z:     	OFF

-= LockIn Sensitivity Tracker =-
Active: 	LIA I, LIA II, LIA III

-= LockIn Amplifier - LIA I =-
OutputParameter:      	M
Sensitivity:          	500 mV
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	70.98
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA III =-
OutputParameter:      	IS
Sensitivity:          	10 nA
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	70.9782
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	I (1MΩ)
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA II =-
OutputParameter:      	R
Sensitivity:          	50 mV
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	70.9782
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating


Index	Wavelength [nm]	Focus CorrectionY [µm]	Repeat [x]	M [V]	Phase [']	IS [A]	Phase [']	R [V]	Phase [']
90	575.0	2.700	0	1.252838E-001	1.82	3.503951E-009	0.27	1.874858E-002	0.25
91	575.0	2.700	1	1.253128E-001	1.82	3.503194E-009	0.27	1.874259E-002	0.25
92	575.0	2.700	2	1.252538E-001	1.82	3.500875E-009	0.27	1.873244E-002	0.25
93	577.5	2.684	0	1.253352E-001	1.82	3.493142E-009	0.27	1.871810E-002	0.25
94	577.5	2.684	1	1.253128E-001	1.82	3.493817E-009	0.27	1.872835E-002	0.25
95	577.5	2.684	2	1.253128E-001	1.82	3.495138E-009	0.27	1.873979E-002	0.25
96	580.0	2.664	0	1.252838E-001	1.82	3.485881E-009	0.27	1.867563E-002	0.25
97	580.0	2.664	1	1.252247E-001	1.82	3.483451E-009	0.27	1.866850E-002	0.25
98	580.0	2.664	2	1.252609E-001	1.82	3.485722E-009	0.27	1.867555E-002	0.25
99	582.5	2.642	0	1.241434E-001	1.82	3.457287E-009	0.27	1.849698E-002	0.25
100	582.5	2.642	1	1.242024E-001	1.82	3.458164E-009	0.27	1.849602E-002	0.25
101	582.5	2.642	2	1.241734E-001	1.82	3.457407E-009	0.27	1.849978E-002	0.25
102	585.0	2.616	0	1.242991E-001	1.82	3.464224E-009	0.27	1.851267E-002	0.25
103	585.0	2.616	1	1.242915E-001	1.82	3.467291E-009	0.27	1.853250E-002	0.25
104	585.0	2.616	2	1.243068E-001	1.82	3.465463E-009	0.27	1.852146E-002	0.25
105	587.5	2.588	0	1.284587E-001	1.82	3.575662E-009	0.27	1.911876E-002	0.25
106	587.5	2.588	1	1.284587E-001	1.82	3.576457E-009	0.27	1.912476E-002	0.25
107	587.5	2.588	2	1.284510E-001	1.82	3.576178E-009	0.27	1.912518E-002	0.25
108	590.0	2.556	0	1.342916E-001	1.82	3.731887E-009	0.27	1.995280E-002	0.25
109	590.0	2.556	1	1.342625E-001	1.82	3.733006E-009	0.27	1.995000E-002	0.25
110	590.0	2.556	2	1.342625E-001	1.82	3.734125E-009	0.27	1.996496E-002	0.25
111	592.5	2.522	0	1.366829E-001	1.82	3.794986E-009	0.27	2.023362E-002	0.25
112	592.5	2.522	1	1.366238E-001	1.82	3.791598E-009	0.27	2.021657E-002	0.25
113	592.5	2.522	2	1.366829E-001	1.82	3.792668E-009	0.27	2.022433E-002	0.25
114	595.0	2.484	0	1.366905E-001	1.82	3.788917E-009	0.27	2.014810E-002	0.25
115	595.0	2.484	1	1.366238E-001	1.82	3.787365E-009	0.27	2.014674E-002	0.25
116	595.0	2.484	2	1.366605E-001	1.82	3.790155E-009	0.27	2.015593E-002	0.25
117	597.5	2.444	0	1.429007E-001	1.82	3.958280E-009	0.27	2.101133E-002	0.25
118	597.5	2.444	1	1.430188E-001	1.82	3.961032E-009	0.27	2.103261E-002	0.25
119	597.5	2.444	2	1.430479E-001	1.82	3.960913E-009	0.27	2.102189E-002	0.25
120	600.0	2.400	0	1.571707E-001	1.82	4.343401E-009	0.27	2.303245E-002	0.25
121	600.0	2.400	1	1.571707E-001	1.82	4.344205E-009	0.27	2.303333E-002	0.25
122	600.0	2.400	2	1.571569E-001	1.82	4.345880E-009	0.27	2.304925E-002	0.25
123	602.5	2.352	0	1.723445E-001	1.82	4.755564E-009	0.27	2.515575E-002	0.25
124	602.5	2.352	1	1.722854E-001	1.82	4.753687E-009	0.27	2.515071E-002	0.25
125	602.5	2.352	2	1.723082E-001	1.82	4.753736E-009	0.27	2.514846E-002	0.25
126	605.0	2.299	0	1.858452E-001	1.82	5.128924E-009	0.27	2.702622E-002	0.25
127	605.0	2.299	1	1.857785E-001	1.82	5.129239E-009	0.27	2.702534E-002	0.25
128	605.0	2.299	2	1.857418E-001	1.82	5.126809E-009	0.27	2.700959E-002	0.25
129	607.5	2.242	0	2.035278E-001	1.82	5.659099E-009	0.27	2.957801E-002	0.25
130	607.5	2.242	1	2.036621E-001	1.82	5.662335E-009	0.27	2.959657E-002	0.25
131	607.5	2.242	2	2.035955E-001	1.82	5.659221E-009	0.27	2.957705E-002	0.25
132	610.0	2.182	0	2.372354E-001	1.82	6.708044E-009	0.27	3.459714E-002	0.25
133	610.0	2.182	1	2.372216E-001	1.82	6.709764E-009	0.27	3.459818E-002	0.25
134	610.0	2.182	2	2.373173E-001	1.82	6.710159E-009	0.27	3.460546E-002	0.25
135	612.5	2.119	0	2.438895E-001	1.82	6.841098E-009	0.27	3.524205E-002	0.25
136	612.5	2.119	1	2.439572E-001	1.82	6.841581E-009	0.27	3.524029E-002	0.25
137	612.5	2.119	2	2.438971E-001	1.82	6.837993E-009	0.27	3.522076E-002	0.25
138	615.0	2.054	0	2.201525E-001	1.82	6.045329E-009	0.27	3.151122E-002	0.25
139	615.0	2.054	1	2.200344E-001	1.82	6.041950E-009	0.27	3.148915E-002	0.25
140	615.0	2.054	2	2.200934E-001	1.82	6.044017E-009	0.27	3.150114E-002	0.25
141	617.5	1.989	0	2.137351E-001	1.82	5.822901E-009	0.27	3.042781E-002	0.25
142	617.5	1.989	1	2.137351E-001	1.82	5.824055E-009	0.27	3.043668E-002	0.25
143	617.5	1.989	2	2.137136E-001	1.82	5.821545E-009	0.27	3.042645E-002	0.25
144	620.0	1.925	0	2.157043E-001	1.82	5.852660E-009	0.27	3.051349E-002	0.25
145	620.0	1.925	1	2.155271E-001	1.82	5.844726E-009	0.27	3.046916E-002	0.25
146	620.0	1.925	2	2.156524E-001	1.82	5.846552E-009	0.27	3.048389E-002	0.25
147	622.5	1.861	0	2.183171E-001	1.82	5.900122E-009	0.27	3.068373E-002	0.25
148	622.5	1.861	1	2.183095E-001	1.82	5.897964E-009	0.27	3.067262E-002	0.25
149	622.5	1.861	2	2.182428E-001	1.82	5.897160E-009	0.27	3.067023E-002	0.25
150	625.0	1.800	0	2.259482E-001	1.82	6.095591E-009	0.27	3.166730E-002	0.25
151	625.0	1.800	1	2.259406E-001	1.82	6.093472E-009	0.27	3.165803E-002	0.25
152	625.0	1.800	2	2.260673E-001	1.82	6.095552E-009	0.27	3.166259E-002	0.25
153	627.5	1.740	0	2.379685E-001	1.82	6.407207E-009	0.27	3.326116E-002	0.25
154	627.5	1.740	1	2.380352E-001	1.82	6.404575E-009	0.27	3.324531E-002	0.25
155	627.5	1.740	2	2.380061E-001	1.82	6.405693E-009	0.27	3.324723E-002	0.25
156	630.0	1.680	0	2.525654E-001	1.82	6.793315E-009	0.27	3.520774E-002	0.25
157	630.0	1.680	1	2.526168E-001	1.82	6.794999E-009	0.27	3.521845E-002	0.25
158	630.0	1.680	2	2.525944E-001	1.82	6.793315E-009	0.27	3.521197E-002	0.25
159	632.5	1.620	0	2.659337E-001	1.82	7.140916E-009	0.27	3.692836E-002	0.25
160	632.5	1.620	1	2.659047E-001	1.82	7.139917E-009	0.27	3.691579E-002	0.25
