External Quantum Efficiency	v1.4.7137.26188
Date Time:	Wednesday, 22 June 2022 00:15:39
Dimensions:	4
TotalSteps:	3390
SourceFile 	D:\users\nanoscalesolar\Documents\Eitan\Cal.eqe
Sample:    	?
Operator:  	Nanoscalesolar
Comments:  	

Loops:
>	Repeat 10 times
>	Wavelength from 500 to 780 [nm] in 113 steps
>	Focus Correction [no-loop]
>	Repeat 3 times

Operations:
>	Delay [100 ms]
>	LockIn Sensitivity Tracker
>	LockIn Amplifier : M
>	LockIn Amplifier : IS
>	LockIn Amplifier : R

Parameters:
>	Repeat	x	0	10	R	{From=0,To=9}
>	Wavelength	nm	1	113	R	{From=500,To=780}
>	Focus CorrectionY	µm	3	1	V	0
>	Repeat	x	0	3	R	{From=0,To=2}

Results:
>	M	V	-1
>	Phase	'	2
>	IS	A	-1
>	Phase	'	2
>	R	V	-1
>	Phase	'	2

-= Wavelength - AOTF VIS =-
Channels:     	8
Range:        	370 - 800 nm
AutoOptPower: 	ON
Modulation:   	ON
Ch:0	Wavelength: 500.0 nm	Frequency: 126.775 MHz	Power: 5000

-= Focus Correction =-
Piezo X:     	OFF
Piezo Y:     	ON 'NewNKT_Focus_corrloopback'
Piezo Z:     	OFF

-= LockIn Sensitivity Tracker =-
Active: 	LIA I, LIA II, LIA III

-= LockIn Amplifier - LIA I =-
OutputParameter:      	M
Sensitivity:          	200 mV
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	71.5
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA III =-
OutputParameter:      	IS
Sensitivity:          	5 nA
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	71.497
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	I (1MΩ)
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA II =-
OutputParameter:      	R
Sensitivity:          	5 mV
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	71.497
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating


Index	Repeat [x]	Wavelength [nm]	Focus CorrectionY [µm]	Repeat [x]	M [V]	Phase [']	IS [A]	Phase [']	R [V]	Phase [']
1754	5	547.5	2.681	2	2.564987E-001	1.81	6.640207E-009	0.26	4.243008E-002	0.25
1755	5	550.0	2.700	0	2.197424E-001	1.81	5.634171E-009	0.26	3.640607E-002	0.25
1756	5	550.0	2.700	1	2.196687E-001	1.81	5.632883E-009	0.26	3.638019E-002	0.25
1757	5	550.0	2.700	2	2.195212E-001	1.81	5.628598E-009	0.26	3.639309E-002	0.25
1758	5	552.5	2.714	0	2.025112E-001	1.81	5.164015E-009	0.26	3.369338E-002	0.25
1759	5	552.5	2.714	1	2.025560E-001	1.81	5.165537E-009	0.26	3.371558E-002	0.25
1760	5	552.5	2.714	2	2.025705E-001	1.81	5.165129E-009	0.26	3.369619E-002	0.25
1761	5	555.0	2.724	0	1.977450E-001	1.81	5.046667E-009	0.26	3.311328E-002	0.25
1762	5	555.0	2.724	1	1.977595E-001	1.81	5.046667E-009	0.26	3.311416E-002	0.25
1763	5	555.0	2.724	2	1.977595E-001	1.81	5.046025E-009	0.26	3.310223E-002	0.25
1764	5	557.5	2.732	0	1.946367E-001	1.81	4.981583E-009	0.26	3.279594E-002	0.25
1765	5	557.5	2.732	1	1.947249E-001	1.81	4.985325E-009	0.26	3.281902E-002	0.25
1766	5	557.5	2.732	2	1.947104E-001	1.81	4.984446E-009	0.26	3.281446E-002	0.25
1767	5	560.0	2.736	0	1.901947E-001	1.81	4.890881E-009	0.26	3.225650E-002	0.25
1768	5	560.0	2.736	1	1.900170E-001	1.81	4.887611E-009	0.26	3.224545E-002	0.25
1769	5	560.0	2.736	2	1.900315E-001	1.81	4.887442E-009	0.26	3.222783E-002	0.25
1770	5	562.5	2.738	0	1.878709E-001	1.81	4.850762E-009	0.26	3.204360E-002	0.25
1771	5	562.5	2.738	1	1.878116E-001	1.81	4.848532E-009	0.26	3.202046E-002	0.25
1772	5	562.5	2.738	2	1.878261E-001	1.81	4.849647E-009	0.26	3.203529E-002	0.25
1773	5	565.0	2.736	0	1.966050E-001	1.81	5.091427E-009	0.26	3.368876E-002	0.25
1774	5	565.0	2.736	1	1.966195E-001	1.81	5.091899E-009	0.26	3.368042E-002	0.25
1775	5	565.0	2.736	2	1.966787E-001	1.81	5.091899E-009	0.26	3.367943E-002	0.25
1776	5	567.5	2.732	0	2.150793E-001	1.81	5.583428E-009	0.26	3.697693E-002	0.25
1777	5	567.5	2.732	1	2.150793E-001	1.81	5.583428E-009	0.26	3.695473E-002	0.25
1778	5	567.5	2.732	2	2.150200E-001	1.81	5.582956E-009	0.26	3.696947E-002	0.25
1779	5	570.0	2.724	0	2.324290E-001	1.81	6.051762E-009	0.26	4.007078E-002	0.25
1780	5	570.0	2.724	1	2.324290E-001	1.81	6.053346E-009	0.26	4.007083E-002	0.25
1781	5	570.0	2.724	2	2.325475E-001	1.81	6.054870E-009	0.26	4.009573E-002	0.25
1782	5	572.5	2.714	0	2.445532E-001	1.81	6.378971E-009	0.26	4.225249E-002	0.25
1783	5	572.5	2.714	1	2.446125E-001	1.81	6.383421E-009	0.26	4.226079E-002	0.25
1784	5	572.5	2.714	2	2.446717E-001	1.81	6.381834E-009	0.26	4.225150E-002	0.25
1785	5	575.0	2.700	0	2.545594E-001	1.81	6.645064E-009	0.26	4.401959E-002	0.25
1786	5	575.0	2.700	1	2.545449E-001	1.81	6.644591E-009	0.26	4.403155E-002	0.25
1787	5	575.0	2.700	2	2.544857E-001	1.81	6.644591E-009	0.26	4.402243E-002	0.25
1788	5	577.5	2.684	0	2.635315E-001	1.81	6.889011E-009	0.26	4.565723E-002	0.25
1789	5	577.5	2.684	1	2.634723E-001	1.81	6.886201E-009	0.26	4.563778E-002	0.25
1790	5	577.5	2.684	2	2.634578E-001	1.81	6.888368E-009	0.26	4.566278E-002	0.25
1791	5	580.0	2.664	0	2.696166E-001	1.81	7.067294E-009	0.26	4.678139E-002	0.25
1792	5	580.0	2.664	1	2.697351E-001	1.81	7.067058E-009	0.26	4.676738E-002	0.25
1793	5	580.0	2.664	2	2.696903E-001	1.81	7.066415E-009	0.26	4.674893E-002	0.25
1794	5	582.5	2.642	0	2.724579E-001	1.81	7.162616E-009	0.26	4.727994E-002	0.25
1795	5	582.5	2.642	1	2.725317E-001	1.81	7.162850E-009	0.26	4.729846E-002	0.25
1796	5	582.5	2.642	2	2.725172E-001	1.81	7.163955E-009	0.26	4.729302E-002	0.25
1797	5	585.0	2.616	0	2.825546E-001	1.81	7.462217E-009	0.26	4.907953E-002	0.25
1798	5	585.0	2.616	1	2.825994E-001	1.81	7.461274E-009	0.26	4.909886E-002	0.25
1799	5	585.0	2.616	2	2.825691E-001	1.81	7.461981E-009	0.26	4.908137E-002	0.25
1800	5	587.5	2.588	0	3.354175E-001	1.81	9.018054E-009	0.26	5.870808E-002	0.25
1801	5	587.5	2.588	1	3.354623E-001	1.81	9.016769E-009	0.26	5.867859E-002	0.25
1802	5	587.5	2.588	2	3.355215E-001	1.81	9.019107E-009	0.26	5.870622E-002	0.25
1803	5	590.0	2.556	0	3.504134E-001	1.81	9.460137E-009	0.26	6.138659E-002	0.25
1804	5	590.0	2.556	1	3.505319E-001	1.81	9.460609E-009	0.26	6.140043E-002	0.25
1805	5	590.0	2.556	2	3.504134E-001	1.81	9.462367E-009	0.26	6.141802E-002	0.25
1806	5	592.5	2.522	0	3.076169E-001	1.81	8.124971E-009	0.26	5.334752E-002	0.25
1807	5	592.5	2.522	1	3.075576E-001	1.81	8.124092E-009	0.26	5.334466E-002	0.25
1808	5	592.5	2.522	2	3.076459E-001	1.81	8.126729E-009	0.26	5.336226E-002	0.25
1809	5	595.0	2.484	0	2.957442E-001	1.81	7.772636E-009	0.26	5.114729E-002	0.25
1810	5	595.0	2.484	1	2.956849E-001	1.81	7.771993E-009	0.26	5.113620E-002	0.25
1811	5	595.0	2.484	2	2.958179E-001	1.81	7.777493E-009	0.26	5.117235E-002	0.25
1812	5	597.5	2.444	0	3.048773E-001	1.81	8.002758E-009	0.26	5.261754E-002	0.25
1813	5	597.5	2.444	1	3.049230E-001	1.81	8.001879E-009	0.26	5.259709E-002	0.25
1814	5	597.5	2.444	2	3.049375E-001	1.81	8.003808E-009	0.26	5.263596E-002	0.25
1815	5	600.0	2.400	0	3.328715E-001	1.81	8.723720E-009	0.26	5.730368E-002	0.25
1816	5	600.0	2.400	1	3.329307E-001	1.81	8.721962E-009	0.26	5.730451E-002	0.25
1817	5	600.0	2.400	2	3.330045E-001	1.81	8.727054E-009	0.26	5.733604E-002	0.25
1818	5	602.5	2.352	0	3.648023E-001	1.81	9.550423E-009	0.26	6.264673E-002	0.25
1819	5	602.5	2.352	1	3.647430E-001	1.81	9.548193E-009	0.26	6.263006E-002	0.25
1820	5	602.5	2.352	2	3.648760E-001	1.81	9.549308E-009	0.26	6.263656E-002	0.25
1821	5	605.0	2.299	0	3.919514E-001	1.81	1.025726E-008	0.26	6.712300E-002	0.25
1822	5	605.0	2.299	1	3.919369E-001	1.81	1.025591E-008	0.26	6.710922E-002	0.25
1823	5	605.0	2.299	2	3.919514E-001	1.81	1.025328E-008	0.26	6.711102E-002	0.25
1824	5	607.5	2.242	0	4.110482E-001	1.81	1.075732E-008	0.26	7.020680E-002	0.25
1825	5	607.5	2.242	1	4.109745E-001	1.81	1.075589E-008	0.26	7.018828E-002	0.25
1826	5	607.5	2.242	2	4.110930E-001	1.81	1.075913E-008	0.26	7.020766E-002	0.25
1827	5	610.0	2.182	0	4.268879E-001	1.81	1.116137E-008	0.26	7.271863E-002	0.25
1828	5	610.0	2.182	1	4.269037E-001	1.81	1.116137E-008	0.26	7.269188E-002	0.25
1829	5	610.0	2.182	2	4.268879E-001	1.81	1.116074E-008	0.26	7.269468E-002	0.25
1830	5	612.5	2.119	0	4.415282E-001	1.81	1.151833E-008	0.26	7.499835E-002	0.25
1831	5	612.5	2.119	1	4.416323E-001	1.81	1.151833E-008	0.26	7.498923E-002	0.25
1832	5	612.5	2.119	2	4.416323E-001	1.81	1.151502E-008	0.26	7.498819E-002	0.25
1833	5	615.0	2.054	0	4.550744E-001	1.81	1.182972E-008	0.26	7.702732E-002	0.25
1834	5	615.0	2.054	1	4.552666E-001	1.81	1.183534E-008	0.26	7.702564E-002	0.25
1835	5	615.0	2.054	2	4.551626E-001	1.81	1.183153E-008	0.26	7.702918E-002	0.25
1836	5	617.5	1.989	0	4.654057E-001	1.81	1.207036E-008	0.26	7.843650E-002	0.25
1837	5	617.5	1.989	1	4.653912E-001	1.81	1.207036E-008	0.26	7.842081E-002	0.25
1838	5	617.5	1.989	2	4.654360E-001	1.81	1.206940E-008	0.26	7.840869E-002	0.25
1839	5	620.0	1.925	0	4.738448E-001	1.81	1.228759E-008	0.26	7.951340E-002	0.25
1840	5	620.0	1.925	1	4.739330E-001	1.81	1.228606E-008	0.26	7.949306E-002	0.25
1841	5	620.0	1.925	2	4.740068E-001	1.81	1.229114E-008	0.26	7.955589E-002	0.25
1842	5	622.5	1.861	0	4.800628E-001	1.81	1.245772E-008	0.26	8.023223E-002	0.25
1843	5	622.5	1.861	1	4.801366E-001	1.81	1.245993E-008	0.26	8.020827E-002	0.25
1844	5	622.5	1.861	2	4.800325E-001	1.81	1.245414E-008	0.26	8.019519E-002	0.25
1845	5	625.0	1.800	0	4.929562E-001	1.81	1.278199E-008	0.26	8.207528E-002	0.25
1846	5	625.0	1.800	1	4.930154E-001	1.81	1.278556E-008	0.26	8.208637E-002	0.25
1847	5	625.0	1.800	2	4.930299E-001	1.81	1.278491E-008	0.26	8.206417E-002	0.25
1848	5	627.5	1.740	0	5.152070E-001	1.81	1.333197E-008	0.26	8.548745E-002	0.25
1849	5	627.5	1.740	1	5.150596E-001	1.81	1.332626E-008	0.26	8.545964E-002	0.25
1850	5	627.5	1.740	2	5.150885E-001	1.81	1.332673E-008	0.26	8.545788E-002	0.25
1851	5	630.0	1.680	0	5.384487E-001	1.81	1.388153E-008	0.26	8.900502E-002	0.25
1852	5	630.0	1.680	1	5.383894E-001	1.81	1.388161E-008	0.26	8.896623E-002	0.25
1853	5	630.0	1.680	2	5.383894E-001	1.81	1.387853E-008	0.26	8.895513E-002	0.25
1854	5	632.5	1.620	0	5.587581E-001	1.81	1.436195E-008	0.26	9.198234E-002	0.25
1855	5	632.5	1.620	1	5.588029E-001	1.81	1.436559E-008	0.26	9.199158E-002	0.25
1856	5	632.5	1.620	2	5.590251E-001	1.81	1.437445E-008	0.26	9.202499E-002	0.25
1857	5	635.0	1.560	0	5.697882E-001	1.81	1.462482E-008	0.26	9.341999E-002	0.25
1858	5	635.0	1.560	1	5.697289E-001	1.81	1.462395E-008	0.26	9.339055E-002	0.25
1859	5	635.0	1.560	2	5.696986E-001	1.81	1.462751E-008	0.26	9.345155E-002	0.25
1860	5	637.5	1.500	0	5.706165E-001	1.81	1.463512E-008	0.26	9.319620E-002	0.25
1861	5	637.5	1.500	1	5.706902E-001	1.81	1.463629E-008	0.26	9.320170E-002	0.25
1862	5	637.5	1.500	2	5.706020E-001	1.81	1.463408E-008	0.26	9.317961E-002	0.25
1863	5	640.0	1.440	0	5.689879E-001	1.81	1.457055E-008	0.26	9.250051E-002	0.25
1864	5	640.0	1.440	1	5.689432E-001	1.81	1.456855E-008	0.26	9.248392E-002	0.25
1865	5	640.0	1.440	2	5.690920E-001	1.81	1.456950E-008	0.26	9.247830E-002	0.25
1866	5	642.5	1.380	0	5.707494E-001	1.81	1.456968E-008	0.26	9.232463E-002	0.25
1867	5	642.5	1.380	1	5.709272E-001	1.81	1.457434E-008	0.26	9.233024E-002	0.25
1868	5	642.5	1.380	2	5.709272E-001	1.81	1.457363E-008	0.26	9.235430E-002	0.25
1869	5	645.0	1.320	0	5.844878E-001	1.81	1.487235E-008	0.26	9.417317E-002	0.25
1870	5	645.0	1.320	1	5.845905E-001	1.81	1.487195E-008	0.26	9.414185E-002	0.25
1871	5	645.0	1.320	2	5.846801E-001	1.81	1.487449E-008	0.26	9.418800E-002	0.25
1872	5	647.5	1.260	0	6.066182E-001	1.81	1.538140E-008	0.26	9.719304E-002	0.25
1873	5	647.5	1.260	1	6.068697E-001	1.81	1.538243E-008	0.26	9.715797E-002	0.25
1874	5	647.5	1.260	2	6.065590E-001	1.81	1.537784E-008	0.26	9.716347E-002	0.25
1875	5	650.0	1.200	0	6.307929E-001	1.81	1.596273E-008	0.26	1.005053E-001	0.25
1876	5	650.0	1.200	1	6.308811E-001	1.81	1.596231E-008	0.26	1.004720E-001	0.25
1877	5	650.0	1.200	2	6.308219E-001	1.81	1.596558E-008	0.26	1.005275E-001	0.25
1878	5	652.5	1.140	0	6.485273E-001	1.81	1.639021E-008	0.26	1.027998E-001	0.25
1879	5	652.5	1.140	1	6.485273E-001	1.81	1.639115E-008	0.26	1.028147E-001	0.25
1880	5	652.5	1.140	2	6.486458E-001	1.81	1.638805E-008	0.26	1.027794E-001	0.25
1881	5	655.0	1.080	0	6.581344E-001	1.81	1.663344E-008	0.26	1.038066E-001	0.25
1882	5	655.0	1.080	1	6.578829E-001	1.81	1.662497E-008	0.26	1.037348E-001	0.25
1883	5	655.0	1.080	2	6.578829E-001	1.81	1.662545E-008	0.26	1.037731E-001	0.25
1884	5	657.5	1.020	0	6.664247E-001	1.81	1.683943E-008	0.26	1.047665E-001	0.25
1885	5	657.5	1.020	1	6.666025E-001	1.81	1.684728E-008	0.26	1.048127E-001	0.25
1886	5	657.5	1.020	2	6.666169E-001	1.81	1.685011E-008	0.26	1.048409E-001	0.25
1887	5	660.0	0.960	0	6.732339E-001	1.81	1.697355E-008	0.26	1.054035E-001	0.25
1888	5	660.0	0.960	1	6.731448E-001	1.81	1.697134E-008	0.26	1.054180E-001	0.25
1889	5	660.0	0.960	2	6.732050E-001	1.81	1.696913E-008	0.26	1.053796E-001	0.25
1890	5	662.5	0.900	0	6.781636E-001	1.81	1.702831E-008	0.26	1.057231E-001	0.25
1891	5	662.5	0.900	1	6.782821E-001	1.81	1.702300E-008	0.26	1.056646E-001	0.25
1892	5	662.5	0.900	2	6.782228E-001	1.81	1.702206E-008	0.26	1.057029E-001	0.25
1893	5	665.0	0.840	0	6.854021E-001	1.81	1.711749E-008	0.26	1.062104E-001	0.25
1894	5	665.0	0.840	1	6.854166E-001	1.81	1.712313E-008	0.26	1.062911E-001	0.25
1895	5	665.0	0.840	2	6.854021E-001	1.81	1.711971E-008	0.26	1.062472E-001	0.25
1896	5	667.5	0.780	0	6.881113E-001	1.81	1.711655E-008	0.26	1.060455E-001	0.25
1897	5	667.5	0.780	1	6.882891E-001	1.81	1.712313E-008	0.26	1.060846E-001	0.25
1898	5	667.5	0.780	2	6.881706E-001	1.81	1.711956E-008	0.26	1.060842E-001	0.25
1899	5	670.0	0.720	0	6.987557E-001	1.81	1.734675E-008	0.26	1.070337E-001	0.25
1900	5	670.0	0.720	1	6.986965E-001	1.81	1.734374E-008	0.26	1.069689E-001	0.25
1901	5	670.0	0.720	2	6.986662E-001	1.81	1.734422E-008	0.26	1.070079E-001	0.25
1902	5	672.5	0.660	0	7.122995E-001	1.81	1.766905E-008	0.26	1.082693E-001	0.25
1903	5	672.5	0.660	1	7.122403E-001	1.81	1.766905E-008	0.26	1.082350E-001	0.25
1904	5	672.5	0.660	2	7.122706E-001	1.81	1.766764E-008	0.26	1.083101E-001	0.25
1905	5	675.0	0.600	0	7.297982E-001	1.81	1.810398E-008	0.26	1.102307E-001	0.25
1906	5	675.0	0.600	1	7.298272E-001	1.81	1.810182E-008	0.26	1.101720E-001	0.25
1907	5	675.0	0.600	2	7.299009E-001	1.81	1.810356E-008	0.26	1.102421E-001	0.25
1908	5	677.5	0.539	0	7.502864E-001	1.81	1.858935E-008	0.26	1.125383E-001	0.25
1909	5	677.5	0.539	1	7.502271E-001	1.81	1.858903E-008	0.26	1.125143E-001	0.25
1910	5	677.5	0.539	2	7.500204E-001	1.81	1.858620E-008	0.26	1.125978E-001	0.25
1911	5	680.0	0.475	0	7.650744E-001	1.81	1.892687E-008	0.26	1.142318E-001	0.25
1912	5	680.0	0.475	1	7.650597E-001	1.81	1.892124E-008	0.26	1.141189E-001	0.25
1913	5	680.0	0.475	2	7.649704E-001	1.81	1.892077E-008	0.26	1.142256E-001	0.25
1914	5	682.5	0.411	0	7.705815E-001	1.81	1.899927E-008	0.26	1.142559E-001	0.25
1915	5	682.5	0.411	1	7.706552E-001	1.81	1.901042E-008	0.26	1.143336E-001	0.25
1916	5	682.5	0.411	2	7.705960E-001	1.81	1.900369E-008	0.26	1.143188E-001	0.25
1917	5	685.0	0.346	0	7.710701E-001	1.81	1.896176E-008	0.26	1.136138E-001	0.25
1918	5	685.0	0.346	1	7.709805E-001	1.81	1.896523E-008	0.26	1.136302E-001	0.25
1919	5	685.0	0.346	2	7.711135E-001	1.81	1.896665E-008	0.26	1.136247E-001	0.25
1920	5	687.5	0.281	0	7.544904E-001	1.81	1.852053E-008	0.26	1.103514E-001	0.25
1921	5	687.5	0.281	1	7.546971E-001	1.81	1.852952E-008	0.26	1.103534E-001	0.25
1922	5	687.5	0.281	2	7.545786E-001	1.81	1.852979E-008	0.26	1.104848E-001	0.25
1923	5	690.0	0.218	0	7.321967E-001	1.81	1.797371E-008	0.26	1.064001E-001	0.25
1924	5	690.0	0.218	1	7.323297E-001	1.81	1.797649E-008	0.26	1.064025E-001	0.25
1925	5	690.0	0.218	2	7.323442E-001	1.81	1.797339E-008	0.26	1.063100E-001	0.25
1926	5	692.5	0.158	0	7.314557E-001	1.81	1.795703E-008	0.26	1.054532E-001	0.25
1927	5	692.5	0.158	1	7.313227E-001	1.81	1.795717E-008	0.26	1.053948E-001	0.25
1928	5	692.5	0.158	2	7.313819E-001	1.81	1.795482E-008	0.26	1.054180E-001	0.25
1929	5	695.0	0.101	0	7.603374E-001	1.81	1.867801E-008	0.26	1.088317E-001	0.25
1930	5	695.0	0.101	1	7.603967E-001	1.81	1.867895E-008	0.26	1.088124E-001	0.25
1931	5	695.0	0.101	2	7.603519E-001	1.81	1.867632E-008	0.26	1.087633E-001	0.25
1932	5	697.5	0.048	0	8.008100E-001	1.81	1.966896E-008	0.26	1.138154E-001	0.25
1933	5	697.5	0.048	1	8.010470E-001	1.81	1.967963E-008	0.26	1.139251E-001	0.25
1934	5	697.5	0.048	2	8.011352E-001	1.81	1.968006E-008	0.26	1.139536E-001	0.25
1935	5	700.0	0.000	0	8.290702E-001	1.81	2.032742E-008	0.26	1.169715E-001	0.25
1936	5	700.0	0.000	1	8.290110E-001	1.81	2.033170E-008	0.26	1.170999E-001	0.25
1937	5	700.0	0.000	2	8.288924E-001	1.81	2.032653E-008	0.26	1.169185E-001	0.25
1938	5	702.5	-0.042	0	8.453246E-001	1.81	2.067694E-008	0.26	1.183559E-001	0.25
1939	5	702.5	-0.042	1	8.455313E-001	1.81	2.068074E-008	0.26	1.184283E-001	0.25
1940	5	702.5	-0.042	2	8.453391E-001	1.81	2.066927E-008	0.26	1.183078E-001	0.25
1941	5	705.0	-0.079	0	8.500158E-001	1.81	2.073193E-008	0.26	1.180712E-001	0.25
1942	5	705.0	-0.079	1	8.501946E-001	1.81	2.073740E-008	0.26	1.179922E-001	0.25
1943	5	705.0	-0.079	2	8.501801E-001	1.81	2.073757E-008	0.26	1.181006E-001	0.25
1944	5	707.5	-0.112	0	8.478250E-001	1.81	2.065937E-008	0.26	1.167573E-001	0.25
1945	5	707.5	-0.112	1	8.478106E-001	1.81	2.065433E-008	0.26	1.167726E-001	0.25
1946	5	707.5	-0.112	2	8.476183E-001	1.81	2.064380E-008	0.26	1.166168E-001	0.25
1947	5	710.0	-0.142	0	8.317339E-001	1.81	2.028112E-008	0.26	1.135704E-001	0.25
1948	5	710.0	-0.142	1	8.317339E-001	1.81	2.028696E-008	0.26	1.135716E-001	0.25
1949	5	710.0	-0.142	2	8.315706E-001	1.81	2.027440E-008	0.26	1.135094E-001	0.25
1950	5	712.5	-0.169	0	8.014460E-001	1.81	1.959329E-008	0.26	1.085501E-001	0.25
1951	5	712.5	-0.169	1	8.014908E-001	1.81	1.959309E-008	0.26	1.086672E-001	0.25
1952	5	712.5	-0.169	2	8.014014E-001	1.81	1.959108E-008	0.26	1.085458E-001	0.25
1953	5	715.0	-0.194	0	7.614326E-001	1.81	1.867632E-008	0.26	1.023539E-001	0.25
1954	5	715.0	-0.194	1	7.614919E-001	1.81	1.867711E-008	0.26	1.024948E-001	0.25
1955	5	715.0	-0.194	2	7.613589E-001	1.81	1.867237E-008	0.26	1.024388E-001	0.25
1956	5	717.5	-0.219	0	7.166520E-001	1.81	1.763028E-008	0.26	9.570750E-002	0.25
1957	5	717.5	-0.219	1	7.164005E-001	1.81	1.763186E-008	0.26	9.581246E-002	0.25
1958	5	717.5	-0.219	2	7.164150E-001	1.81	1.763248E-008	0.26	9.573346E-002	0.25
1959	5	720.0	-0.245	0	6.770087E-001	1.81	1.671415E-008	0.26	9.000808E-002	0.25
1960	5	720.0	-0.245	1	6.772010E-001	1.81	1.672468E-008	0.26	9.012473E-002	0.25
1961	5	720.0	-0.245	2	6.771417E-001	1.81	1.671852E-008	0.26	9.005226E-002	0.25
1962	5	722.5	-0.271	0	6.394374E-001	1.81	1.582464E-008	0.26	8.465665E-002	0.25
1963	5	722.5	-0.271	1	6.390664E-001	1.81	1.582013E-008	0.26	8.469163E-002	0.25
1964	5	722.5	-0.271	2	6.393782E-001	1.81	1.582464E-008	0.26	8.463985E-002	0.25
1965	5	725.0	-0.300	0	6.152772E-001	1.81	1.524704E-008	0.26	8.102981E-002	0.25
1966	5	725.0	-0.300	1	6.151442E-001	1.81	1.524799E-008	0.26	8.104121E-002	0.25
1967	5	725.0	-0.300	2	6.151442E-001	1.81	1.524831E-008	0.26	8.104818E-002	0.25
1968	5	727.5	-0.343	0	6.263801E-001	1.81	1.554080E-008	0.26	8.212331E-002	0.25
1969	5	727.5	-0.343	1	6.263801E-001	1.81	1.553516E-008	0.26	8.200521E-002	0.25
1970	5	727.5	-0.343	2	6.263208E-001	1.81	1.553248E-008	0.26	8.205287E-002	0.25
1971	5	730.0	-0.405	0	6.586663E-001	1.81	1.633906E-008	0.26	8.568007E-002	0.25
1972	5	730.0	-0.405	1	6.586663E-001	1.81	1.633765E-008	0.26	8.570938E-002	0.25
1973	5	730.0	-0.405	2	6.583701E-001	1.81	1.633479E-008	0.26	8.564664E-002	0.25
1974	5	732.5	-0.478	0	6.720637E-001	1.81	1.668543E-008	0.26	8.687881E-002	0.25
1975	5	732.5	-0.478	1	6.721374E-001	1.81	1.669216E-008	0.26	8.690128E-002	0.25
1976	5	732.5	-0.478	2	6.721822E-001	1.81	1.669201E-008	0.26	8.696391E-002	0.25
1977	5	735.0	-0.554	0	6.692504E-001	1.81	1.664350E-008	0.26	8.594999E-002	0.25
1978	5	735.0	-0.554	1	6.690581E-001	1.81	1.664096E-008	0.26	8.592791E-002	0.25
1979	5	735.0	-0.554	2	6.689541E-001	1.81	1.664049E-008	0.26	8.597781E-002	0.25
1980	5	737.5	-0.625	0	6.579408E-001	1.81	1.639731E-008	0.26	8.396286E-002	0.25
1981	5	737.5	-0.625	1	6.578670E-001	1.81	1.639510E-008	0.26	8.398119E-002	0.25
1982	5	737.5	-0.625	2	6.579408E-001	1.81	1.639825E-008	0.26	8.397223E-002	0.25
1983	5	740.0	-0.682	0	6.153365E-001	1.81	1.536122E-008	0.26	7.794522E-002	0.25
1984	5	740.0	-0.682	1	6.153510E-001	1.81	1.536259E-008	0.26	7.796732E-002	0.25
1985	5	740.0	-0.682	2	6.152772E-001	1.81	1.536169E-008	0.26	7.796944E-002	0.25
1986	5	742.5	-0.716	0	5.704676E-001	1.81	1.425425E-008	0.26	7.171866E-002	0.25
1987	5	742.5	-0.716	1	5.704084E-001	1.81	1.425425E-008	0.26	7.174634E-002	0.25
1988	5	742.5	-0.716	2	5.703491E-001	1.81	1.425020E-008	0.26	7.171668E-002	0.25
1989	5	745.0	-0.719	0	5.161390E-001	1.81	1.289159E-008	0.26	6.439816E-002	0.25
1990	5	745.0	-0.719	1	5.159458E-001	1.81	1.289079E-008	0.26	6.440192E-002	0.25
1991	5	745.0	-0.719	2	5.159458E-001	1.81	1.288985E-008	0.26	6.436109E-002	0.25
1992	5	747.5	-0.683	0	4.659834E-001	1.81	1.161741E-008	0.26	5.763483E-002	0.25
1993	5	747.5	-0.683	1	4.656124E-001	1.81	1.161646E-008	0.26	5.767188E-002	0.25
1994	5	747.5	-0.683	2	4.656572E-001	1.81	1.161646E-008	0.26	5.765514E-002	0.25
1995	5	750.0	-0.600	0	4.353247E-001	1.81	1.083455E-008	0.26	5.340848E-002	0.25
1996	5	750.0	-0.600	1	4.353849E-001	1.81	1.083850E-008	0.26	5.343630E-002	0.25
1997	5	750.0	-0.600	2	4.352655E-001	1.81	1.083582E-008	0.26	5.343254E-002	0.25
1998	5	752.5	-0.468	0	4.105149E-001	1.81	1.019305E-008	0.26	4.993532E-002	0.25
1999	5	752.5	-0.468	1	4.104557E-001	1.81	1.019082E-008	0.26	4.994089E-002	0.25
2000	5	752.5	-0.468	2	4.103217E-001	1.81	1.018731E-008	0.26	4.990575E-002	0.25
2001	5	755.0	-0.294	0	3.944830E-001	1.81	9.764549E-009	0.26	4.754090E-002	0.25
2002	5	755.0	-0.294	1	3.944830E-001	1.81	9.764549E-009	0.26	4.754276E-002	0.25
