External Quantum Efficiency	v1.4.7137.26188
Date Time:	Sunday, 05 June 2022 17:51:47
Dimensions:	4
TotalSteps:	3390
SourceFile 	D:\users\nanoscalesolar\Documents\Eitan\Cal.eqe
Sample:    	?
Operator:  	Nanoscalesolar
Comments:  	

Loops:
>	Repeat 10 times
>	Wavelength from 500.0 to 780.0 [nm] in 113 steps
>	Focus Correction [no-loop]
>	Repeat 3 times

Operations:
>	Delay [100 ms]
>	LockIn Sensitivity Tracker
>	LockIn Amplifier : M
>	LockIn Amplifier : IS
>	LockIn Amplifier : R

Parameters:
>	Repeat	x	0	10	R	{From=0,To=9}
>	Wavelength	nm	1	113	R	{From=500,To=780}
>	Focus CorrectionY	µm	3	1	V	0
>	Repeat	x	0	3	R	{From=0,To=2}

Results:
>	M	V	-1
>	Phase	'	2
>	IS	A	-1
>	Phase	'	2
>	R	V	-1
>	Phase	'	2

-= Wavelength - AOTF VIS =-
Channels:     	8
Range:        	370 - 800 nm
AutoOptPower: 	ON
Modulation:   	ON
Ch:0	Wavelength: 500.0 nm	Frequency: 126.775 MHz	Power: 5000

-= Focus Correction =-
Piezo X:     	OFF
Piezo Y:     	ON 'NewNKT_Focus_corr'
Piezo Z:     	OFF

-= LockIn Sensitivity Tracker =-
Active: 	LIA I, LIA II, LIA III

-= LockIn Amplifier - LIA I =-
OutputParameter:      	M
Sensitivity:          	500 mV
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	70.98
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA III =-
OutputParameter:      	IS
Sensitivity:          	10 nA
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	70.982
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	I (1MΩ)
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA II =-
OutputParameter:      	R
Sensitivity:          	50 mV
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	70.9782
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating


Index	Repeat [x]	Wavelength [nm]	Focus CorrectionY [µm]	Repeat [x]	M [V]	Phase [']	IS [A]	Phase [']	R [V]	Phase [']
1656	4	750.0	-0.600	0	1.933958E-001	1.82	4.801673E-009	0.27	1.909052E-002	0.25
1657	4	750.0	-0.600	1	1.933368E-001	1.82	4.799040E-009	0.27	1.907389E-002	0.25
1658	4	750.0	-0.600	2	1.933958E-001	1.82	4.799281E-009	0.27	1.907108E-002	0.25
1659	4	752.5	-0.638	0	1.847215E-001	1.82	4.589252E-009	0.27	1.808672E-002	0.25
1660	4	752.5	-0.638	1	1.848987E-001	1.82	4.587014E-009	0.27	1.807831E-002	0.25
1661	4	752.5	-0.638	2	1.848987E-001	1.82	4.589888E-009	0.27	1.808944E-002	0.25
1662	4	755.0	-0.678	0	1.790958E-001	1.82	4.438965E-009	0.27	1.735196E-002	0.25
1663	4	755.0	-0.678	1	1.790805E-001	1.82	4.439361E-009	0.27	1.734829E-002	0.25
1664	4	755.0	-0.678	2	1.790805E-001	1.82	4.436728E-009	0.27	1.733997E-002	0.25
1665	4	757.5	-0.719	0	1.673556E-001	1.82	4.125638E-009	0.27	1.598447E-002	0.25
1666	4	757.5	-0.719	1	1.672375E-001	1.82	4.123401E-009	0.27	1.597701E-002	0.25
1667	4	757.5	-0.719	2	1.672375E-001	1.82	4.126274E-009	0.27	1.599550E-002	0.25
1668	4	760.0	-0.761	0	1.513531E-001	1.82	3.714970E-009	0.27	1.425054E-002	0.25
1669	4	760.0	-0.761	1	1.512940E-001	1.82	3.713215E-009	0.27	1.425054E-002	0.25
1670	4	760.0	-0.761	2	1.512787E-001	1.82	3.713852E-009	0.27	1.424591E-002	0.25
1671	4	762.5	-0.804	0	1.346550E-001	1.82	3.288690E-009	0.27	1.248423E-002	0.25
1672	4	762.5	-0.804	1	1.345064E-001	1.82	3.287572E-009	0.27	1.248327E-002	0.25
1673	4	762.5	-0.804	2	1.344474E-001	1.82	3.285817E-009	0.27	1.247959E-002	0.25
1674	4	765.0	-0.848	0	1.164898E-001	1.82	2.831065E-009	0.27	1.063559E-002	0.25
1675	4	765.0	-0.848	1	1.164308E-001	1.82	2.830187E-009	0.27	1.063559E-002	0.25
1676	4	765.0	-0.848	2	1.164308E-001	1.82	2.831065E-009	0.27	1.063559E-002	0.25
1677	4	767.5	-0.893	0	1.036998E-001	1.82	2.505847E-009	0.27	9.337518E-003	0.25
1678	4	767.5	-0.893	1	1.036255E-001	1.82	2.504488E-009	0.27	9.334721E-003	0.25
1679	4	767.5	-0.893	2	1.036408E-001	1.82	2.503851E-009	0.27	9.331023E-003	0.25
1680	4	770.0	-0.938	0	8.777863E-002	1.82	2.110434E-009	0.27	7.801572E-003	0.25
1681	4	770.0	-0.938	1	8.780052E-002	1.82	2.111311E-009	0.27	7.808064E-003	0.25
1682	4	770.0	-0.938	2	8.780816E-002	1.82	2.112429E-009	0.27	7.814080E-003	0.25
1683	4	772.5	-0.985	0	7.982889E-002	1.82	1.913088E-009	0.27	7.009577E-003	0.25
1684	4	772.5	-0.985	1	7.979935E-002	1.82	1.913522E-009	0.27	7.009577E-003	0.25
1685	4	772.5	-0.985	2	7.979935E-002	1.82	1.913642E-009	0.27	7.009577E-003	0.25
1686	4	775.0	-1.031	0	7.475880E-002	1.82	1.788283E-009	0.27	6.490963E-003	0.25
1687	4	775.0	-1.031	1	7.475880E-002	1.82	1.787091E-009	0.27	6.487274E-003	0.25
1688	4	775.0	-1.031	2	7.472927E-002	1.82	1.787091E-009	0.27	6.487274E-003	0.25
1689	4	777.5	-1.078	0	6.741621E-002	1.82	1.603187E-009	0.27	5.762353E-003	0.25
1690	4	777.5	-1.078	1	6.738668E-002	1.82	1.602309E-009	0.27	5.762353E-003	0.25
1691	4	777.5	-1.078	2	6.737906E-002	1.82	1.601191E-009	0.27	5.754500E-003	0.25
1692	4	780.0	-1.126	0	6.750482E-002	1.82	1.593569E-009	0.27	5.677702E-003	0.25
1693	4	780.0	-1.126	1	6.750482E-002	1.82	1.594013E-009	0.27	5.679552E-003	0.25
1694	4	780.0	-1.126	2	6.750482E-002	1.82	1.593810E-009	0.27	5.679552E-003	0.25
1695	5	500.0	2.400	0	1.675962E-003	1.82	2.879033E-011	0.27	1.355040E-004	0.25
1696	5	500.0	2.400	1	1.682419E-003	1.82	2.872734E-011	0.26	1.358929E-004	0.25
1697	5	500.0	2.400	2	1.679554E-003	1.83	2.866182E-011	0.27	1.359881E-004	0.26
1698	5	502.5	2.447	0	2.702255E-003	1.83	4.916308E-011	0.27	2.344835E-004	0.26
1699	5	502.5	2.447	1	2.706328E-003	1.82	4.907573E-011	0.27	2.344080E-004	0.26
1700	5	502.5	2.447	2	2.708632E-003	1.82	4.880731E-011	0.27	2.346534E-004	0.26
1701	5	505.0	2.472	0	4.412512E-003	1.82	8.341034E-011	0.27	4.059927E-004	0.25
1702	5	505.0	2.472	1	4.429344E-003	1.82	8.350809E-011	0.26	4.057896E-004	0.25
1703	5	505.0	2.472	2	4.407892E-003	1.82	8.313183E-011	0.27	4.049542E-004	0.25
1704	5	507.5	2.479	0	6.750060E-003	1.82	1.329556E-010	0.27	6.522032E-004	0.25
1705	5	507.5	2.479	1	6.736358E-003	1.82	1.322230E-010	0.27	6.504234E-004	0.25
1706	5	507.5	2.479	2	6.733088E-003	1.82	1.323000E-010	0.27	6.507848E-004	0.25
1707	5	510.0	2.472	0	9.235908E-003	1.82	1.883677E-010	0.27	9.353388E-004	0.25
1708	5	510.0	2.472	1	9.248903E-003	1.82	1.884383E-010	0.27	9.349322E-004	0.25
1709	5	510.0	2.472	2	9.262900E-003	1.82	1.879743E-010	0.27	9.360559E-004	0.25
1710	5	512.5	2.456	0	1.290360E-002	1.82	2.720310E-010	0.27	1.366421E-003	0.25
1711	5	512.5	2.456	1	1.289456E-002	1.82	2.715729E-010	0.27	1.363635E-003	0.25
1712	5	512.5	2.456	2	1.288874E-002	1.82	2.710123E-010	0.27	1.362466E-003	0.25
1713	5	515.0	2.436	0	1.908615E-002	1.82	4.153113E-010	0.27	2.102831E-003	0.25
1714	5	515.0	2.436	1	1.908799E-002	1.82	4.158974E-010	0.27	2.105487E-003	0.25
1715	5	515.0	2.436	2	1.907866E-002	1.82	4.149109E-010	0.27	2.101267E-003	0.25
1716	5	517.5	2.416	0	2.924639E-002	1.82	6.598692E-010	0.27	3.359196E-003	0.25
1717	5	517.5	2.416	1	2.927828E-002	1.82	6.597602E-010	0.27	3.360087E-003	0.25
1718	5	517.5	2.416	2	2.928297E-002	1.82	6.600941E-010	0.27	3.363004E-003	0.25
1719	5	520.0	2.400	0	4.630132E-002	1.82	1.075916E-009	0.27	5.509587E-003	0.25
1720	5	520.0	2.400	1	4.628829E-002	1.82	1.076854E-009	0.27	5.512558E-003	0.25
1721	5	520.0	2.400	2	4.628909E-002	1.82	1.075644E-009	0.27	5.506674E-003	0.25
1722	5	522.5	2.393	0	7.818297E-002	1.82	1.873376E-009	0.27	9.616760E-003	0.25
1723	5	522.5	2.393	1	7.819237E-002	1.82	1.871686E-009	0.27	9.621138E-003	0.25
1724	5	522.5	2.393	2	7.817850E-002	1.82	1.872322E-009	0.27	9.619880E-003	0.25
1725	5	525.0	2.400	0	1.294657E-001	1.82	3.194171E-009	0.27	1.643641E-002	0.25
1726	5	525.0	2.400	1	1.295427E-001	1.82	3.196589E-009	0.27	1.644714E-002	0.25
1727	5	525.0	2.400	2	1.295431E-001	1.82	3.196842E-009	0.27	1.645137E-002	0.25
1728	5	527.5	2.419	0	1.890501E-001	1.82	4.775702E-009	0.27	2.463990E-002	0.25
1729	5	527.5	2.419	1	1.891610E-001	1.82	4.777100E-009	0.27	2.464884E-002	0.25
1730	5	527.5	2.419	2	1.890349E-001	1.82	4.774946E-009	0.27	2.463526E-002	0.25
1731	5	530.0	2.446	0	2.292198E-001	1.82	5.899446E-009	0.27	3.049548E-002	0.25
1732	5	530.0	2.446	1	2.291455E-001	1.82	5.897160E-009	0.27	3.049910E-002	0.25
1733	5	530.0	2.446	2	2.289741E-001	1.82	5.894692E-009	0.27	3.048599E-002	0.25
1734	5	532.5	2.477	0	2.239423E-001	1.82	5.871597E-009	0.27	3.038157E-002	0.25
1735	5	532.5	2.477	1	2.237727E-001	1.82	5.866535E-009	0.27	3.037660E-002	0.25
1736	5	532.5	2.477	2	2.238985E-001	1.82	5.868773E-009	0.27	3.037748E-002	0.25
1737	5	535.0	2.513	0	1.934839E-001	1.82	5.157277E-009	0.27	2.670797E-002	0.25
1738	5	535.0	2.513	1	1.934020E-001	1.82	5.152215E-009	0.27	2.670445E-002	0.25
1739	5	535.0	2.513	2	1.932324E-001	1.82	5.148788E-009	0.27	2.668109E-002	0.25
1740	5	537.5	2.550	0	1.712269E-001	1.82	4.626379E-009	0.27	2.401274E-002	0.25
1741	5	537.5	2.550	1	1.709530E-001	1.82	4.622233E-009	0.27	2.399905E-002	0.25
1742	5	537.5	2.550	2	1.709087E-001	1.82	4.621317E-009	0.27	2.398219E-002	0.25
1743	5	540.0	2.587	0	1.610863E-001	1.82	4.418104E-009	0.27	2.294038E-002	0.25
1744	5	540.0	2.587	1	1.611087E-001	1.82	4.423973E-009	0.27	2.297230E-002	0.25
1745	5	540.0	2.587	2	1.610935E-001	1.82	4.420496E-009	0.27	2.294829E-002	0.25
1746	5	542.5	2.623	0	1.561495E-001	1.82	4.334154E-009	0.27	2.250796E-002	0.25
1747	5	542.5	2.623	1	1.561861E-001	1.82	4.335343E-009	0.27	2.250964E-002	0.25
1748	5	542.5	2.623	2	1.561118E-001	1.82	4.334549E-009	0.27	2.251700E-002	0.25
1749	5	545.0	2.654	0	1.478738E-001	1.82	4.126432E-009	0.27	2.147575E-002	0.25
1750	5	545.0	2.654	1	1.477995E-001	1.82	4.126274E-009	0.27	2.147192E-002	0.25
1751	5	545.0	2.654	2	1.477266E-001	1.82	4.123005E-009	0.27	2.145630E-002	0.25
1752	5	547.5	2.681	0	1.381781E-001	1.82	3.856443E-009	0.27	2.016936E-002	0.25
1753	5	547.5	2.681	1	1.381329E-001	1.82	3.854254E-009	0.27	2.016473E-002	0.25
1754	5	547.5	2.681	2	1.381858E-001	1.82	3.858882E-009	0.27	2.018785E-002	0.25
1755	5	550.0	2.700	0	1.307833E-001	1.82	3.650438E-009	0.27	1.918070E-002	0.25
1756	5	550.0	2.700	1	1.307018E-001	1.82	3.648491E-009	0.27	1.917461E-002	0.25
1757	5	550.0	2.700	2	1.307532E-001	1.82	3.649922E-009	0.27	1.917788E-002	0.25
1758	5	552.5	2.714	0	1.267124E-001	1.82	3.548345E-009	0.27	1.869971E-002	0.25
1759	5	552.5	2.714	1	1.265937E-001	1.82	3.545665E-009	0.27	1.868803E-002	0.25
1760	5	552.5	2.714	2	1.266457E-001	1.82	3.545593E-009	0.27	1.868211E-002	0.25
1761	5	555.0	2.724	0	1.259716E-001	1.82	3.541480E-009	0.27	1.870236E-002	0.25
1762	5	555.0	2.724	1	1.260974E-001	1.82	3.543992E-009	0.27	1.871339E-002	0.25
1763	5	555.0	2.724	2	1.258897E-001	1.82	3.538004E-009	0.27	1.868475E-002	0.25
1764	5	557.5	2.732	0	1.279256E-001	1.82	3.618816E-009	0.27	1.909692E-002	0.25
1765	5	557.5	2.732	1	1.279480E-001	1.82	3.619573E-009	0.27	1.910805E-002	0.25
1766	5	557.5	2.732	2	1.279709E-001	1.82	3.617939E-009	0.27	1.908541E-002	0.25
1767	5	560.0	2.736	0	1.344702E-001	1.82	3.857167E-009	0.27	2.023282E-002	0.25
1768	5	560.0	2.736	1	1.344550E-001	1.82	3.855373E-009	0.27	2.022914E-002	0.25
1769	5	560.0	2.736	2	1.344474E-001	1.82	3.856321E-009	0.27	2.022810E-002	0.25
1770	5	562.5	2.738	0	1.517527E-001	1.82	4.430354E-009	0.27	2.301902E-002	0.25
1771	5	562.5	2.738	1	1.517827E-001	1.82	4.431463E-009	0.27	2.302741E-002	0.25
1772	5	562.5	2.738	2	1.517751E-001	1.82	4.429791E-009	0.27	2.302046E-002	0.25
1773	5	565.0	2.736	0	1.705391E-001	1.82	5.018800E-009	0.27	2.595202E-002	0.25
1774	5	565.0	2.736	1	1.705543E-001	1.82	5.018213E-009	0.27	2.594698E-002	0.25
1775	5	565.0	2.736	2	1.705981E-001	1.82	5.022911E-009	0.27	2.597298E-002	0.25
1776	5	567.5	2.732	0	1.589990E-001	1.82	4.602886E-009	0.27	2.400065E-002	0.25
1777	5	567.5	2.732	1	1.590290E-001	1.82	4.602250E-009	0.27	2.399569E-002	0.25
1778	5	567.5	2.732	2	1.590290E-001	1.82	4.601453E-009	0.27	2.398362E-002	0.25
1779	5	570.0	2.724	0	1.382220E-001	1.82	3.921390E-009	0.27	2.070778E-002	0.25
1780	5	570.0	2.724	1	1.380448E-001	1.82	3.921233E-009	0.27	2.071388E-002	0.25
1781	5	570.0	2.724	2	1.380371E-001	1.82	3.922747E-009	0.27	2.072083E-002	0.25
1782	5	572.5	2.714	0	1.283629E-001	1.82	3.612829E-009	0.27	1.922318E-002	0.25
1783	5	572.5	2.714	1	1.284372E-001	1.82	3.614632E-009	0.27	1.923950E-002	0.25
1784	5	572.5	2.714	2	1.283329E-001	1.82	3.613826E-009	0.27	1.923061E-002	0.25
1785	5	575.0	2.700	0	1.256834E-001	1.82	3.521062E-009	0.27	1.881428E-002	0.25
1786	5	575.0	2.700	1	1.256911E-001	1.82	3.520498E-009	0.27	1.880932E-002	0.25
1787	5	575.0	2.700	2	1.256534E-001	1.82	3.519500E-009	0.27	1.880554E-002	0.25
1788	5	577.5	2.684	0	1.257125E-001	1.82	3.512200E-009	0.27	1.879435E-002	0.25
1789	5	577.5	2.684	1	1.256458E-001	1.82	3.511202E-009	0.27	1.879947E-002	0.25
1790	5	577.5	2.684	2	1.256834E-001	1.82	3.510889E-009	0.27	1.879579E-002	0.25
1791	5	580.0	2.664	0	1.256610E-001	1.82	3.505624E-009	0.27	1.874586E-002	0.25
1792	5	580.0	2.664	1	1.256244E-001	1.82	3.504505E-009	0.27	1.874299E-002	0.25
1793	5	580.0	2.664	2	1.256610E-001	1.82	3.503830E-009	0.27	1.873979E-002	0.25
1794	5	582.5	2.642	0	1.245873E-001	1.82	3.475274E-009	0.27	1.855434E-002	0.25
1795	5	582.5	2.642	1	1.245721E-001	1.82	3.473712E-009	0.27	1.854882E-002	0.25
1796	5	582.5	2.642	2	1.245797E-001	1.82	3.477343E-009	0.27	1.856499E-002	0.25
1797	5	585.0	2.616	0	1.245797E-001	1.82	3.479146E-009	0.27	1.856547E-002	0.25
1798	5	585.0	2.616	1	1.245206E-001	1.82	3.478268E-009	0.27	1.855985E-002	0.25
1799	5	585.0	2.616	2	1.245130E-001	1.82	3.477029E-009	0.27	1.855250E-002	0.25
1800	5	587.5	2.588	0	1.288283E-001	1.82	3.594084E-009	0.27	1.918813E-002	0.25
1801	5	587.5	2.588	1	1.287916E-001	1.82	3.591220E-009	0.27	1.917597E-002	0.25
1802	5	587.5	2.588	2	1.287616E-001	1.82	3.590535E-009	0.27	1.917181E-002	0.25
1803	5	590.0	2.556	0	1.345579E-001	1.82	3.744572E-009	0.27	1.998240E-002	0.25
1804	5	590.0	2.556	1	1.346031E-001	1.82	3.745006E-009	0.27	1.998471E-002	0.25
1805	5	590.0	2.556	2	1.346398E-001	1.82	3.748443E-009	0.27	1.999864E-002	0.25
1806	5	592.5	2.522	0	1.370011E-001	1.82	3.808418E-009	0.27	2.027105E-002	0.25
1807	5	592.5	2.522	1	1.369858E-001	1.82	3.807663E-009	0.27	2.027058E-002	0.25
1808	5	592.5	2.522	2	1.369935E-001	1.82	3.807541E-009	0.27	2.026874E-002	0.25
1809	5	595.0	2.484	0	1.369858E-001	1.82	3.806422E-009	0.27	2.021417E-002	0.25
1810	5	595.0	2.484	1	1.370087E-001	1.82	3.807146E-009	0.27	2.021377E-002	0.25
1811	5	595.0	2.484	2	1.369420E-001	1.82	3.805715E-009	0.27	2.020178E-002	0.25
1812	5	597.5	2.444	0	1.432780E-001	1.82	3.975512E-009	0.27	2.106725E-002	0.25
1813	5	597.5	2.444	1	1.433737E-001	1.82	3.976470E-009	0.27	2.107189E-002	0.25
1814	5	597.5	2.444	2	1.433370E-001	1.82	3.977711E-009	0.27	2.108388E-002	0.25
1815	5	600.0	2.400	0	1.574523E-001	1.82	4.360955E-009	0.27	2.308525E-002	0.25
1816	5	600.0	2.400	1	1.575556E-001	1.82	4.361315E-009	0.27	2.308245E-002	0.25
1817	5	600.0	2.400	2	1.575780E-001	1.82	4.360955E-009	0.27	2.308102E-002	0.25
1818	5	602.5	2.352	0	1.727146E-001	1.82	4.772674E-009	0.27	2.520582E-002	0.25
1819	5	602.5	2.352	1	1.727736E-001	1.82	4.775666E-009	0.27	2.522159E-002	0.25
1820	5	602.5	2.352	2	1.727660E-001	1.82	4.773551E-009	0.27	2.520895E-002	0.25
1821	5	605.0	2.299	0	1.862967E-001	1.82	5.146349E-009	0.27	2.706278E-002	0.25
1822	5	605.0	2.299	1	1.862449E-001	1.82	5.146310E-009	0.27	2.706086E-002	0.25
1823	5	605.0	2.299	2	1.862891E-001	1.82	5.143283E-009	0.27	2.704527E-002	0.25
1824	5	607.5	2.242	0	2.041942E-001	1.82	5.684822E-009	0.27	2.965842E-002	0.25
1825	5	607.5	2.242	1	2.042319E-001	1.82	5.681634E-009	0.27	2.964282E-002	0.25
1826	5	607.5	2.242	2	2.042457E-001	1.82	5.685266E-009	0.27	2.965577E-002	0.25
1827	5	610.0	2.182	0	2.378580E-001	1.82	6.736085E-009	0.27	3.466194E-002	0.25
1828	5	610.0	2.182	1	2.380061E-001	1.82	6.734410E-009	0.27	3.465674E-002	0.25
1829	5	610.0	2.182	2	2.379318E-001	1.82	6.734735E-009	0.27	3.466738E-002	0.25
1830	5	612.5	2.119	0	2.449042E-001	1.82	6.880390E-009	0.27	3.538493E-002	0.25
1831	5	612.5	2.119	1	2.447860E-001	1.82	6.877073E-009	0.27	3.536269E-002	0.25
1832	5	612.5	2.119	2	2.448084E-001	1.82	6.876761E-009	0.27	3.536589E-002	0.25
1833	5	615.0	2.054	0	2.208556E-001	1.82	6.077443E-009	0.27	3.161538E-002	0.25
1834	5	615.0	2.054	1	2.208265E-001	1.82	6.079560E-009	0.27	3.162611E-002	0.25
1835	5	615.0	2.054	2	2.209084E-001	1.82	6.077806E-009	0.27	3.161274E-002	0.25
1836	5	617.5	1.989	0	2.146468E-001	1.82	5.859274E-009	0.27	3.055974E-002	0.25
1837	5	617.5	1.989	1	2.146606E-001	1.82	5.857722E-009	0.27	3.055052E-002	0.25
1838	5	617.5	1.989	2	2.146316E-001	1.82	5.857602E-009	0.27	3.055558E-002	0.25
1839	5	620.0	1.925	0	2.165703E-001	1.82	5.886158E-009	0.27	3.063005E-002	0.25
1840	5	620.0	1.925	1	2.165779E-001	1.82	5.884798E-009	0.27	3.061982E-002	0.25
1841	5	620.0	1.925	2	2.165036E-001	1.82	5.881530E-009	0.27	3.060327E-002	0.25
1842	5	622.5	1.861	0	2.192422E-001	1.82	5.937451E-009	0.27	3.082247E-002	0.25
1843	5	622.5	1.861	1	2.192422E-001	1.82	5.938930E-009	0.27	3.082759E-002	0.25
1844	5	622.5	1.861	2	2.191531E-001	1.82	5.938329E-009	0.27	3.082759E-002	0.25
1845	5	625.0	1.800	0	2.268509E-001	1.82	6.125107E-009	0.27	3.175466E-002	0.25
1846	5	625.0	1.800	1	2.268509E-001	1.82	6.125226E-009	0.27	3.175363E-002	0.25
1847	5	625.0	1.800	2	2.268142E-001	1.82	6.120276E-009	0.27	3.173804E-002	0.25
1848	5	627.5	1.740	0	2.389679E-001	1.82	6.443577E-009	0.27	3.338454E-002	0.25
1849	5	627.5	1.740	1	2.389607E-001	1.82	6.443101E-009	0.27	3.338092E-002	0.25
1850	5	627.5	1.740	2	2.389755E-001	1.82	6.450240E-009	0.27	3.342437E-002	0.25
1851	5	630.0	1.680	0	2.536758E-001	1.82	6.841700E-009	0.27	3.540029E-002	0.25
1852	5	630.0	1.680	1	2.537196E-001	1.82	6.836360E-009	0.27	3.536508E-002	0.25
1853	5	630.0	1.680	2	2.536305E-001	1.82	6.832285E-009	0.27	3.534981E-002	0.25
1854	5	632.5	1.620	0	2.669998E-001	1.82	7.183549E-009	0.27	3.706940E-002	0.25
1855	5	632.5	1.620	1	2.670289E-001	1.82	7.180242E-009	0.27	3.706061E-002	0.25
1856	5	632.5	1.620	2	2.670589E-001	1.82	7.181673E-009	0.27	3.706988E-002	0.25
1857	5	635.0	1.560	0	2.773847E-001	1.82	7.440521E-009	0.27	3.831105E-002	0.25
1858	5	635.0	1.560	1	2.773847E-001	1.82	7.438406E-009	0.27	3.830226E-002	0.25
1859	5	635.0	1.560	2	2.774362E-001	1.82	7.441399E-009	0.27	3.831377E-002	0.25
1860	5	637.5	1.500	0	2.833725E-001	1.82	7.570461E-009	0.27	3.890923E-002	0.25
1861	5	637.5	1.500	1	2.833282E-001	1.82	7.568395E-009	0.27	3.890371E-002	0.25
1862	5	637.5	1.500	2	2.833648E-001	1.82	7.570269E-009	0.27	3.891348E-002	0.25
1863	5	640.0	1.440	0	2.886204E-001	1.82	7.683857E-009	0.27	3.942639E-002	0.25
1864	5	640.0	1.440	1	2.885828E-001	1.82	7.685892E-009	0.27	3.944815E-002	0.25
1865	5	640.0	1.440	2	2.885237E-001	1.82	7.683655E-009	0.27	3.942551E-002	0.25
1866	5	642.5	1.380	0	2.970661E-001	1.82	7.892994E-009	0.27	4.042932E-002	0.25
1867	5	642.5	1.380	1	2.971619E-001	1.82	7.894315E-009	0.27	4.043586E-002	0.25
1868	5	642.5	1.380	2	2.970876E-001	1.82	7.893472E-009	0.27	4.044045E-002	0.25
1869	5	645.0	1.320	0	3.130025E-001	1.82	8.295496E-009	0.27	4.238995E-002	0.25
1870	5	645.0	1.320	1	3.128977E-001	1.82	8.281264E-009	0.27	4.236026E-002	0.25
1871	5	645.0	1.320	2	3.128981E-001	1.82	8.279748E-009	0.27	4.235116E-002	0.25
1872	5	647.5	1.260	0	3.332750E-001	1.82	8.791623E-009	0.27	4.485196E-002	0.25
1873	5	647.5	1.260	1	3.333493E-001	1.82	8.796483E-009	0.27	4.487878E-002	0.25
1874	5	647.5	1.260	2	3.332536E-001	1.82	8.791228E-009	0.27	4.485373E-002	0.25
1875	5	650.0	1.200	0	3.540820E-001	1.82	9.289854E-009	0.27	4.727144E-002	0.25
1876	5	650.0	1.200	1	3.540959E-001	1.82	9.292005E-009	0.27	4.728704E-002	0.25
1877	5	650.0	1.200	2	3.541111E-001	1.82	9.294242E-009	0.27	4.730001E-002	0.25
1878	5	652.5	1.140	0	3.694106E-001	1.82	9.643064E-009	0.27	4.895814E-002	0.25
1879	5	652.5	1.140	1	3.694548E-001	1.82	9.647053E-009	0.27	4.897486E-002	0.25
1880	5	652.5	1.140	2	3.694106E-001	1.82	9.644421E-009	0.27	4.896182E-002	0.25
1881	5	655.0	1.080	0	3.816309E-001	1.82	9.924165E-009	0.27	5.025260E-002	0.25
1882	5	655.0	1.080	1	3.815494E-001	1.82	9.919537E-009	0.27	5.022291E-002	0.25
1883	5	655.0	1.080	2	3.816085E-001	1.82	9.916663E-009	0.27	5.020724E-002	0.25
1884	5	657.5	1.020	0	3.891215E-001	1.82	1.010030E-008	0.27	5.101224E-002	0.25
1885	5	657.5	1.020	1	3.889514E-001	1.82	1.009719E-008	0.27	5.101319E-002	0.25
1886	5	657.5	1.020	2	3.892182E-001	1.82	1.010079E-008	0.27	5.100679E-002	0.25
1887	5	660.0	0.960	0	3.953164E-001	1.82	1.026047E-008	0.27	5.170347E-002	0.25
1888	5	660.0	0.960	1	3.952135E-001	1.82	1.026183E-008	0.27	5.171818E-002	0.25
1889	5	660.0	0.960	2	3.954360E-001	1.82	1.026295E-008	0.27	5.172009E-002	0.25
1890	5	662.5	0.900	0	3.973457E-001	1.82	1.031096E-008	0.27	5.188554E-002	0.25
1891	5	662.5	0.900	1	3.973976E-001	1.82	1.030969E-008	0.27	5.188380E-002	0.25
1892	5	662.5	0.900	2	3.972780E-001	1.82	1.030745E-008	0.27	5.187372E-002	0.25
1893	5	665.0	0.840	0	3.998318E-001	1.82	1.034805E-008	0.27	5.203549E-002	0.25
1894	5	665.0	0.840	1	3.997575E-001	1.82	1.034845E-008	0.27	5.204094E-002	0.25
1895	5	665.0	0.840	2	3.998465E-001	1.82	1.035156E-008	0.27	5.204462E-002	0.25
1896	5	667.5	0.780	0	3.948587E-001	1.82	1.018214E-008	0.27	5.111959E-002	0.25
1897	5	667.5	0.780	1	3.945919E-001	1.82	1.017990E-008	0.27	5.111401E-002	0.25
1898	5	667.5	0.780	2	3.947920E-001	1.82	1.018389E-008	0.27	5.113526E-002	0.25
1899	5	670.0	0.720	0	3.951392E-001	1.82	1.014041E-008	0.27	5.074294E-002	0.25
1900	5	670.0	0.720	1	3.951316E-001	1.82	1.013180E-008	0.27	5.068471E-002	0.25
1901	5	670.0	0.720	2	3.952874E-001	1.82	1.013803E-008	0.27	5.072173E-002	0.25
1902	5	672.5	0.660	0	3.949768E-001	1.82	1.007820E-008	0.27	5.018140E-002	0.25
1903	5	672.5	0.660	1	3.948953E-001	1.82	1.007844E-008	0.27	5.019706E-002	0.25
1904	5	672.5	0.660	2	3.948587E-001	1.82	1.007445E-008	0.27	5.017949E-002	0.25
1905	5	675.0	0.600	0	3.954498E-001	1.82	1.004685E-008	0.27	4.980570E-002	0.25
