External Quantum Efficiency	v1.4.7137.26188
Date Time:	Sunday, 05 June 2022 17:51:47
Dimensions:	4
TotalSteps:	3390
SourceFile 	D:\users\nanoscalesolar\Documents\Eitan\Cal.eqe
Sample:    	?
Operator:  	Nanoscalesolar
Comments:  	

Loops:
>	Repeat 10 times
>	Wavelength from 500.0 to 780.0 [nm] in 113 steps
>	Focus Correction [no-loop]
>	Repeat 3 times

Operations:
>	Delay [100 ms]
>	LockIn Sensitivity Tracker
>	LockIn Amplifier : M
>	LockIn Amplifier : IS
>	LockIn Amplifier : R

Parameters:
>	Repeat	x	0	10	R	{From=0,To=9}
>	Wavelength	nm	1	113	R	{From=500,To=780}
>	Focus CorrectionY	µm	3	1	V	0
>	Repeat	x	0	3	R	{From=0,To=2}

Results:
>	M	V	-1
>	Phase	'	2
>	IS	A	-1
>	Phase	'	2
>	R	V	-1
>	Phase	'	2

-= Wavelength - AOTF VIS =-
Channels:     	8
Range:        	370 - 800 nm
AutoOptPower: 	ON
Modulation:   	ON
Ch:0	Wavelength: 500.0 nm	Frequency: 126.775 MHz	Power: 5000

-= Focus Correction =-
Piezo X:     	OFF
Piezo Y:     	ON 'NewNKT_Focus_corr'
Piezo Z:     	OFF

-= LockIn Sensitivity Tracker =-
Active: 	LIA I, LIA II, LIA III

-= LockIn Amplifier - LIA I =-
OutputParameter:      	M
Sensitivity:          	500 mV
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	70.98
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA III =-
OutputParameter:      	IS
Sensitivity:          	10 nA
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	70.982
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	I (1MΩ)
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA II =-
OutputParameter:      	R
Sensitivity:          	50 mV
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	70.9782
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating


Index	Repeat [x]	Wavelength [nm]	Focus CorrectionY [µm]	Repeat [x]	M [V]	Phase [']	IS [A]	Phase [']	R [V]	Phase [']
122	0	600.0	2.400	2	1.579339E-001	1.82	4.371006E-009	0.27	2.312646E-002	0.25
123	0	602.5	2.352	0	1.731442E-001	1.82	4.781847E-009	0.27	2.524943E-002	0.25
124	0	602.5	2.352	1	1.731218E-001	1.82	4.783049E-009	0.27	2.525079E-002	0.25
125	0	602.5	2.352	2	1.731518E-001	1.82	4.780729E-009	0.27	2.523734E-002	0.25
126	0	605.0	2.299	0	1.866450E-001	1.82	5.154847E-009	0.27	2.709744E-002	0.25
127	0	605.0	2.299	1	1.866083E-001	1.82	5.154969E-009	0.27	2.709623E-002	0.25
128	0	605.0	2.299	2	1.867040E-001	1.82	5.156641E-009	0.27	2.710447E-002	0.25
129	0	607.5	2.242	0	2.046015E-001	1.82	5.692756E-009	0.27	2.968817E-002	0.25
130	0	607.5	2.242	1	2.045210E-001	1.82	5.693602E-009	0.27	2.969570E-002	0.25
131	0	607.5	2.242	2	2.045801E-001	1.82	5.692241E-009	0.27	2.968681E-002	0.25
132	0	610.0	2.182	0	2.383167E-001	1.82	6.749129E-009	0.27	3.473955E-002	0.25
133	0	610.0	2.182	1	2.382729E-001	1.82	6.749695E-009	0.27	3.473226E-002	0.25
134	0	610.0	2.182	2	2.382653E-001	1.82	6.754153E-009	0.27	3.476826E-002	0.25
135	0	612.5	2.119	0	2.451266E-001	1.82	6.891080E-009	0.27	3.542380E-002	0.25
136	0	612.5	2.119	1	2.450523E-001	1.82	6.886211E-009	0.27	3.539886E-002	0.25
137	0	612.5	2.119	2	2.450161E-001	1.82	6.885613E-009	0.27	3.539836E-002	0.25
138	0	615.0	2.054	0	2.210480E-001	1.82	6.082987E-009	0.27	3.163619E-002	0.25
139	0	615.0	2.054	1	2.210633E-001	1.82	6.084347E-009	0.27	3.164282E-002	0.25
140	0	615.0	2.054	2	2.211523E-001	1.82	6.088050E-009	0.27	3.165844E-002	0.25
141	0	617.5	1.989	0	2.146316E-001	1.82	5.860033E-009	0.27	3.055893E-002	0.25
142	0	617.5	1.989	1	2.146316E-001	1.82	5.860033E-009	0.27	3.055838E-002	0.25
143	0	617.5	1.989	2	2.146830E-001	1.82	5.859669E-009	0.27	3.055334E-002	0.25
144	0	620.0	1.925	0	2.164736E-001	1.82	5.881410E-009	0.27	3.060040E-002	0.25
145	0	620.0	1.925	1	2.165189E-001	1.82	5.883214E-009	0.27	3.060325E-002	0.25
146	0	620.0	1.925	2	2.164965E-001	1.82	5.883886E-009	0.27	3.060646E-002	0.25
147	0	622.5	1.861	0	2.190426E-001	1.82	5.933819E-009	0.27	3.079615E-002	0.25
148	0	622.5	1.861	1	2.190940E-001	1.82	5.933376E-009	0.27	3.079014E-002	0.25
149	0	622.5	1.861	2	2.191017E-001	1.82	5.935574E-009	0.27	3.080862E-002	0.25
150	0	625.0	1.800	0	2.267175E-001	1.82	6.124590E-009	0.27	3.174955E-002	0.25
151	0	625.0	1.800	1	2.266661E-001	1.82	6.124470E-009	0.27	3.175275E-002	0.25
152	0	625.0	1.800	2	2.266661E-001	1.82	6.124265E-009	0.27	3.174492E-002	0.25
153	0	627.5	1.740	0	2.387240E-001	1.82	6.437434E-009	0.27	3.334157E-002	0.25
154	0	627.5	1.740	1	2.386578E-001	1.82	6.436679E-009	0.27	3.334389E-002	0.25
155	0	627.5	1.740	2	2.387683E-001	1.82	6.438987E-009	0.27	3.335132E-002	0.25
156	0	630.0	1.680	0	2.534833E-001	1.82	6.828583E-009	0.27	3.531420E-002	0.25
157	0	630.0	1.680	1	2.533199E-001	1.82	6.825590E-009	0.27	3.530261E-002	0.25
158	0	630.0	1.680	2	2.533123E-001	1.82	6.825792E-009	0.27	3.530261E-002	0.25
159	0	632.5	1.620	0	2.668150E-001	1.82	7.178365E-009	0.27	3.704668E-002	0.25
160	0	632.5	1.620	1	2.668150E-001	1.82	7.176851E-009	0.27	3.704116E-002	0.25
161	0	632.5	1.620	2	2.668664E-001	1.82	7.183357E-009	0.27	3.707021E-002	0.25
162	0	635.0	1.560	0	2.772285E-001	1.82	7.439798E-009	0.27	3.830266E-002	0.25
163	0	635.0	1.560	1	2.771470E-001	1.82	7.435976E-009	0.27	3.827865E-002	0.25
164	0	635.0	1.560	2	2.771546E-001	1.82	7.434148E-009	0.27	3.826145E-002	0.25
165	0	637.5	1.500	0	2.832543E-001	1.82	7.569755E-009	0.27	3.890187E-002	0.25
166	0	637.5	1.500	1	2.832753E-001	1.82	7.571904E-009	0.27	3.890268E-002	0.25
167	0	637.5	1.500	2	2.831948E-001	1.82	7.569343E-009	0.27	3.888980E-002	0.25
168	0	640.0	1.440	0	2.884799E-001	1.82	7.682463E-009	0.27	3.940886E-002	0.25
169	0	640.0	1.440	1	2.885752E-001	1.82	7.686731E-009	0.27	3.943054E-002	0.25
170	0	640.0	1.440	2	2.885461E-001	1.82	7.686249E-009	0.27	3.943095E-002	0.25
171	0	642.5	1.380	0	2.971619E-001	1.82	7.890638E-009	0.27	4.040443E-002	0.25
172	0	642.5	1.380	1	2.971695E-001	1.82	7.891564E-009	0.27	4.041178E-002	0.25
173	0	642.5	1.380	2	2.971328E-001	1.82	7.893318E-009	0.27	4.042019E-002	0.25
174	0	645.0	1.320	0	3.131644E-001	1.82	8.308080E-009	0.27	4.244532E-002	0.25
175	0	645.0	1.320	1	3.132097E-001	1.82	8.296497E-009	0.27	4.241947E-002	0.25
176	0	645.0	1.320	2	3.131644E-001	1.82	8.294260E-009	0.27	4.241756E-002	0.25
177	0	647.5	1.260	0	3.337352E-001	1.82	8.809491E-009	0.27	4.493157E-002	0.25
178	0	647.5	1.260	1	3.336975E-001	1.82	8.808855E-009	0.27	4.493524E-002	0.25
179	0	647.5	1.260	2	3.337276E-001	1.82	8.807736E-009	0.27	4.493524E-002	0.25
180	0	650.0	1.200	0	3.542592E-001	1.82	9.304846E-009	0.27	4.733633E-002	0.25
181	0	650.0	1.200	1	3.543926E-001	1.82	9.305087E-009	0.27	4.734736E-002	0.25
182	0	650.0	1.200	2	3.545107E-001	1.82	9.309716E-009	0.27	4.736122E-002	0.25
183	0	652.5	1.140	0	3.698621E-001	1.82	9.653678E-009	0.27	4.899335E-002	0.25
184	0	652.5	1.140	1	3.697954E-001	1.82	9.651200E-009	0.27	4.899417E-002	0.25
185	0	652.5	1.140	2	3.698621E-001	1.82	9.655664E-009	0.27	4.899896E-002	0.25
186	0	655.0	1.080	0	3.821125E-001	1.82	9.939006E-009	0.27	5.030997E-002	0.25
187	0	655.0	1.080	1	3.820825E-001	1.82	9.937646E-009	0.27	5.030715E-002	0.25
188	0	655.0	1.080	2	3.821339E-001	1.82	9.938678E-009	0.27	5.031174E-002	0.25
189	0	657.5	1.020	0	3.897879E-001	1.82	1.012454E-008	0.27	5.111864E-002	0.25
190	0	657.5	1.020	1	3.898103E-001	1.82	1.012790E-008	0.27	5.113617E-002	0.25
191	0	657.5	1.020	2	3.898179E-001	1.82	1.012303E-008	0.27	5.111769E-002	0.25
192	0	660.0	0.960	0	3.961982E-001	1.82	1.029254E-008	0.27	5.186259E-002	0.25
193	0	660.0	0.960	1	3.960648E-001	1.82	1.029007E-008	0.27	5.184675E-002	0.25
194	0	660.0	0.960	2	3.961010E-001	1.82	1.029134E-008	0.27	5.185411E-002	0.25
195	0	662.5	0.900	0	3.979154E-001	1.82	1.032182E-008	0.27	5.192363E-002	0.25
196	0	662.5	0.900	1	3.979078E-001	1.82	1.032118E-008	0.27	5.192445E-002	0.25
197	0	662.5	0.900	2	3.979154E-001	1.82	1.032485E-008	0.27	5.194580E-002	0.25
198	0	665.0	0.840	0	4.003210E-001	1.82	1.035468E-008	0.27	5.203276E-002	0.25
199	0	665.0	0.840	1	4.002028E-001	1.82	1.035141E-008	0.27	5.202636E-002	0.25
200	0	665.0	0.840	2	4.003057E-001	1.82	1.035643E-008	0.27	5.205125E-002	0.25
201	0	667.5	0.780	0	3.954212E-001	1.82	1.018461E-008	0.27	5.110479E-002	0.25
202	0	667.5	0.780	1	3.953469E-001	1.82	1.018477E-008	0.27	5.110288E-002	0.25
203	0	667.5	0.780	2	3.953907E-001	1.82	1.018788E-008	0.27	5.112600E-002	0.25
204	0	670.0	0.720	0	3.958947E-001	1.82	1.014616E-008	0.27	5.075959E-002	0.25
205	0	670.0	0.720	1	3.958357E-001	1.82	1.014041E-008	0.27	5.071982E-002	0.25
206	0	670.0	0.720	2	3.958357E-001	1.82	1.014177E-008	0.27	5.072255E-002	0.25
207	0	672.5	0.660	0	3.954060E-001	1.82	1.008244E-008	0.27	5.019339E-002	0.25
